Safari & Cyclone UEC List (Updated 12/16/2010)

UEC    Description
----   ---------------------------------------------------------
0000   NO_ERROR
0801   UEC_STOP_THIS_CMD
0802   UEC_CMD_ABORTED
0803   UEC_CMD_STS_SENT
0804   UEC_CMD_BUSY
0805   UEC_CMD_CHECK
0806   UEC_CMD_COND_MET
0807   UEC_CMD_QUE_FULL
0808   UEC_CMD_RESV_CONF
0809   UEC_CMD_ACA_ACTIVE
080A   UEC_CMD_NOT_PRIORITY_CMD
080B   UEC_REASSIGN_ALREADY_IN_PROGRESS
080C   UEC_SINGLE_SPARE
080E   UEC_CMD_INVALID_RW
080F   UEC_BLOCK_THIS_CMD
0810   UEC_CMD_ABORTED_STS_SENT
0811   UEC_LINKED_CMD_ABORTED_STS_SENT
0812   UEC_TRIGGER_SHORT_ABORT_SNAPSHOT
F820   UEC_CMD_PARAM_LIST_LENGTH_ERR
F821   UEC_CMD_CDBOP_ERR
F822   UEC_CMD_LBA_OUT_OF_RANGE
F823   UEC_CMD_ILLRQST_INVFLD_CDB
F824   UEC_CMD_INVLUN_ERR
F825   UEC_CMD_ILLRQST_INVFLD_PARAM_LIST
F826   UEC_CMD_UNSUPPORTED_LOG_PAGE
F828   UEC_CMD_INVALID_REL_PRSV
F829   UEC_CMD_SPC_BUFFER_NOT_ALLOCATED
F82A   UEC_CMD_FORMATTED_NO_PLIST
F82B   UEC_CMD_EMC_INVALID_SKIP_CDB
F82C   UEC_CMD_EMC_MASK_LEN_MISMATCH
F82D   UEC_CMD_NETAPP_PARAM1_LIST_ERROR
F82E   UEC_CMD_NETAPP_PARAM2_LIST_ERROR
F82F   UEC_CMD_NETAPP_PARAM3_LIST_ERROR
F830   UEC_CMD_ILLRQST_SEQUENCE_ERR
1831   UEC_CMD_POWER_SAVE_IDLE1_BY_TIMER
1832   UEC_CMD_POWER_SAVE_IDLE2_BY_TIMER
1833   UEC_CMD_POWER_SAVE_IDLE3_BY_TIMER
1834   UEC_CMD_POWER_SAVE_STANDBY_BY_TIMER
1835   UEC_CMD_POWER_SAVE_IDLE1_BY_CMD
1836   UEC_CMD_POWER_SAVE_IDLE2_BY_CMD
1837   UEC_CMD_POWER_SAVE_IDLE3_BY_CMD
1838   UEC_CMD_POWER_SAVE_STANDBY_BY_CMD
0B01   UEC_IDLE_CHECK_HISTORY_DONE
0B02   UEC_IDLE_SAFE_ALGORITHM_DONE
F101   UEC_BATS_RA_INVALID_REQUEST
F102   UEC_BATS_RA_BROKEN
F103   UEC_BATS_RA_INVALID_VERSION
F104   UEC_BATS_RA_INVALID_CHECKSUM
F105   UEC_BATS_RA_INVALID_EYECATCHER
F106   UEC_BATS_RA_INVALID_MAINHEADER_CHECKSUM
F107   UEC_BATS_RA_INVALID_READ_LENGTH
F108   UEC_BATS_RA_ADDR_BOUNDARY_ERROR
F10E   UEC_BATS_DIRECTORY_BROKEN
F10F   UEC_BATS_OVR_CODE_LOAD
F110   UEC_BATS_OVR_CODE_CHECK
F111   UEC_BATS_RAM_CODE_LOAD
F112   UEC_BATS_RAM_CODE_CHECK
F113   UEC_BATS_CFG_BROKEN
F114   UEC_BATS_LG_BROKEN
F119   UEC_BATS_2_READ_WRITE_TEST_ERROR
F11B   UEC_BATS_2_CRC_TEST_ERROR
F11C   UEC_BATS_2_XOR_TEST_ERROR
F11D   UEC_BATS_INCORRECT_DISKCODE
F11E   UEC_BATS_AVAILABLE_UEC_1
F120   UEC_BATS_CODE_COMPATABILITY_FAILURE
F121   UEC_BATS_DOWNLOAD_IN_PROGRESS
F122   UEC_BATS_PM_READ_ERROR
F123   UEC_INVALID_SLEEP_REQ_ERR
F124   UEC_DGBUP_ERR
F125   UEC_BATS_INVALID_RID_FID
F126   UEC_BATS_CODE_CHECK_SUM_ERROR
F127   UEC_BATS_INVALID_HEADER
F128   UEC_DRAMTEST_INPROGRESS
F129   UEC_DRAMTEST_COMPLETE
F12A   UEC_DRAMTEST_ERROR
F12B   UEC_BATS_RA_INVALID_MODEL
F12C   UEC_BATS_INVALID_CODE_SIZE
F12E   UEC_FMT_RSV_INSUF_DIRS_GOOD
F12F   UEC_FMT_RSV_INSUF_FATS_GOOD
F130   UEC_BATS_INCORRECT_CUSTOMER_CODE
F131   UEC_BATS_FL_TIMEOUT
F133   UEC_BATS_VENDOR_ID_MISMATCH
F136   UEC_BATS_2_E2E_TEST_ERROR
F137   UEC_BATS_FLASH_ECC_FIXUP_REQD
F138   UEC_BATS_ATI_RID_ERROR
F139   UEC_FMT_RSV_RESIZE_RIDFID_ERROR
F13A   UEC_BATS_RSEC_READ_ERROR
F13B   UEC_BATS_SWTARGET_BROKEN
F13C   UEC_BATS_NCDE_DRAM_FAIL
F140   UEC_BATS_CAP_CHARGE_TIME_EXCEEDED
F141   UEC_BATS_CAP_DISCHARGE_TIME_EXCEEDED
F142   UEC_BATS_CAP_DISCHARGE_TIME_TOO_SHORT
F143   UEC_BATS_CAP_CHARGE_EXIT_CHECK_FAILED
0180   UEC_BATS_PLI_SELF_TEST_IN_FLIGHT
1201   UEC_SANITY_UEC_CLASS_ERR
1202   UEC_SANITY_UEC_CAUSE_ERR
F203   UEC_SANITY_PROC_ERROR
F207   UEC_AHB_ACCESS_ERROR
F208   UEC_NAND_MISSING
F209   UEC_SANITY_BLOCKSIZE_ERROR
F20A   UEC_MODE_PAGE_STRUCTURE_MISMATCH
0280   UEC_SRAM_0_PARITY_ERROR
0281   UEC_SRAM_1_PARITY_ERROR
0282   UEC_SRAM_2_PARITY_ERROR
0283   UEC_SRAM_FC_SEQ_PARITY_ERROR
F401   UEC_HMI_HMT_ERR_INVALID
F402   UEC_HMI_AES_SIDE_SLOTS_OV
F403   UEC_HMI_HMT_SIDE_VALIDS_OV
F404   UEC_HMI_FIFO_NUM_VALID_OV
F405   UEC_HMI_FIFO_NUM_AVAIL_OV
0406   UEC_HMI_ABORT
F410   UEC_HMI_WT_SG_ABORT
F411   UEC_HMI_DWT_DRAM_ECC_ERR
F412   UEC_HMI_HWT_SYNCCRC_ERR
F413   UEC_HMI_HWT_SYNCCRC_LBA_ERR
F414   UEC_HMI_HWT_GRD_CHK_ERR
F415   UEC_HMI_HWT_APP_CHK_ERR
F416   UEC_HMI_HWT_REF_CHK_ERR
F417   UEC_HMI_DWT_CRC_ERR
F418   UEC_HMI_DWT_HMT_ERR
F419   UEC_HMI_DWT_HMT_TIMEOUT
F420   UEC_HMI_RD_SG_ABORT
F421   UEC_HMI_DRD_CRC_ERR
F422   UEC_HMI_DRD_REF_CHK_ERR
F423   UEC_HMI_DRD_APP_CHK_ERR
F424   UEC_HMI_DRD_GRD_CHK_ERR
F425   UEC_HMI_DRD_HMI_LBA_ERR
F426   UEC_HMI_DRD_HMT_ERR
F427   UEC_HMI_DRD_HMT_TIMEOUT
F501   UEC_HI_LUN_NOT_READY
F502   UEC_HI_LUN_BECOMING_READY
F503   UEC_HI_LUN_NOT_READY_INIT_CMD
F504   UEC_HI_LUN_NOT_READY_FORMATING
F505   UEC_HI_NOT_READY_IN_SELF_TEST
F506   UEC_HI_REASSIGN_FAILED
F507   UEC_HI_FORMAT_FAILED
F50D   UEC_HI_PHY_TEST_FUNC_IN_PROGRESS
F50E   UEC_HI_PHY_DATAEYE_FAILURE
F50F   UEC_HI_PHY_DATAEYE_INTERRUPTED
F511   UEC_HI_ILLRQST_SEQUENCE_ERR
F512   UEC_HI_INVALID_MSG_ERR
F514   UEC_HI_NOT_READY_TO_TRANSITION
F515   UEC_HI_LOGIN_RESET
F516   UEC_HI_POWER_ON_RESET
F517   UEC_HI_SCSI_BUS_RESET
F518   UEC_HI_BUS_DEVICE_RESET
F519   UEC_HI_SELF_INITIATED_RESET
F51C   UEC_HI_MODE_PARAMETERS_CHANGED
F51D   UEC_HI_LOG_PARAMETERS_CHANGED
F51E   UEC_HI_RESERVATIONS_PRE_EMPTED
F51F   UEC_HI_RESERVATIONS_RELEASED
F520   UEC_HI_REGISTRATIONS_PRE_EMPTED
F521   UEC_HI_CMDS_CLRD_BY_ANOTHER_INIT
F522   UEC_HI_MICROCODE_CHANGED
F523   UEC_HI_INQUIRY_PARAMS_CHANGED
F526   UEC_HI_DRV_HMI_LBA
F527   UEC_HI_DRV_HMT_ERR
F528   UEC_HI_DRV_HMT_TO
F529   UEC_HI_DRV_GRD_ERR
F52A   UEC_HI_DRV_APP_ERR
F52B   UEC_HI_DRV_REF_ERR
F52C   UEC_HI_DRV_CRC_ERR
F52D   UEC_HI_BUFFER_CRC_ERR_ON_READ
F52E   UEC_HI_INTERNAL_TARGET_FAILURE
F534   UEC_HI_OVERLAPPED_CMDS_ATTEMPTED
F535   UEC_HI_MISCOMPARE_DURING_VERIFY
F536   UEC_HI_RESERVATION_CONFLICT
F537   UEC_HI_DEVICE_IDENTIFIER_CHANGED
F539   UEC_ESI_UNSPECIFIED_FAILURE
F53A   UEC_ESI_UNSUPPORTED_FUNCTION
F53B   UEC_ESI_ENCLOSURE_UNAVAILABLE
F53C   UEC_HI_SES_TIMEOUT
F53E   UEC_HI_DATA_PHASE_ERROR
F53F   UEC_HI_ABORT_BY_LIP
F544   UEC_HI_ECHO_BUFFER_OVERWRITTEN
F548   UEC_HI_DEV_CTRL_HARD_RESET
F549   UEC_HI_LA_CHECK_ERROR
F54A   UEC_HI_XRDY_CREDIT_ERROR
F54B   UEC_HI_XFER_LEN_ERROR
F54D   UEC_HI_LUN_SUPERCERT_LOGIC_ERROR
F54E   UEC_HI_RCV_PATH_CRC_ERROR
F550   UEC_HI_NAK_RECEIVED
F551   UEC_HI_ACK_NAK_TIMEOUT
F552   UEC_HI_BAD_PARAMETER_OFFSET
F553   UEC_HI_LUN_NOT_READY_NOTIFY
F554   UEC_HI_I_T_NEXUS_LOSS_OCCURRED
F555   UEC_HI_INIT_RESPONSE_TIMEOUT
F556   UEC_ESI_XFR_FAIL_WR_ACK
F557   UEC_ESI_XFR_FAIL_RD_ACK
F558   UEC_ESI_XFR_FAIL_WR_RDY
F559   UEC_ESI_XFR_FAIL_RD_RDY
F55A   UEC_ESI_XFR_REFUSED_WR_ACK
F55B   UEC_ESI_XFR_REFUSED_RD_ACK
F55C   UEC_ESI_XFR_REFUSED_WR_RDY
F55D   UEC_ESI_XFR_REFUSED_RD_RDY
F55E   UEC_ESI_XFR_FAIL_EDV
F55F   UEC_FC_SELID_CHANGE
F560   UEC_HI_TOO_MUCH_WRITE_DATA
F561   UEC_HI_INFORMATION_UNIT_TOO_SHORT
F562   UEC_HI_INFORMATION_UNIT_TOO_LONG
F566   UEC_HI_NOT_READY_IN_HITACHI_DST
F567   UEC_HI_INSUF_REGI_RESOURCES
F568   UEC_HI_E2E_GUARD_CHECK
F569   UEC_HI_E2E_APPTAG_CHECK
F56A   UEC_HI_E2E_REFTAG_CHECK
F56B   UEC_HI_DRAMECC_LBA_ERROR
F56C   UEC_HI_DRAMECC_UNC_ERROR
F56E   UEC_HI_LUN_E6DATA_SOUTH_ERR
F56F   UEC_HI_LUN_E6DATA_MEMORY
F570   UEC_HI_SYNC_CRC_ERROR
F572   UEC_HI_LUN_NOT_READY_MAN_INTV_REQ
F573   UEC_HI_CMDS_CLRD_POWER_FAIL_EVENT
F574   UEC_HI_UNSUPPORTED_HARDWARE
F578   UEC_HI_NOT_READY_IN_EMC_FST
F579   UEC_ESI_XFR_CHECKSUM_ERR
F57A   UEC_ESI_XFR_CHECKSUM_ERR_RDYTO
F57B   UEC_HI_SYNC_CRC_LBA_ERROR
F57D   UEC_HI_BREAK_RECVD
F57F   UEC_HI_MAX_UEC
0581   UEC_HI_NO_XFER_FOUND
0582   UEC_HI_NO_CMDS
0583   UEC_HI_CMD_READY
0584   UEC_HI_NRW_RECVD
0585   UEC_HI_DXFR_DONE
0586   UEC_HI_DXFR_CATCHUP
0588   UEC_HI_NO_EVENT
0589   UEC_HI_DXFER_ABORT_EXCHANGE_ACK
058A   UEC_HI_STAT_DONE
058B   UEC_HI_STAT_ABORTED
058C   UEC_HI_STAT_DEFERRED
058D   UEC_HI_STAT_PENDING
058F   UEC_HI_STAT_SENT
0590   UEC_HI_STAT_ABORT_EXCHANGE_ACK
0591   UEC_HI_REQUEUE_REQUEST
0592   UEC_HI_PROTOCOL_CHK_OK
0593   UEC_HI_QUERY_TMF_EXISTS
0594   UEC_SAS_OOB_START
0595   UEC_SAS_OOB_COMPLETE
0596   UEC_SAS_IDENTIFY_RCVD
0597   UEC_SAS_HARD_RESET_RCVD
0598   UEC_SAS_OOB_FAIL
0599   UEC_SAS_IDENTIFY_TIMEOUT
059B   UEC_SAS_FORCE_OOB
059C   UEC_SAS_15G_NEGOTIATION_RETRY
059F   UEC_HI_REPORT_FCP_CMND_ERR
05A0   UEC_HI_REPORT_INV_LUN
05A1   UEC_HI_REPORT_OVERLAPPED_TAGS
05A2   UEC_HI_REPORT_BUSY
05A3   UEC_HI_REPORT_QUEUE_FULL
05A4   UEC_HI_REPORT_XORERR
05A5   UEC_HI_REPORT_FLAGERR
05A6   UEC_HI_REPORT_INV_RWCDB
05A7   UEC_HI_REPORT_LBARNG_CHECK
05A8   UEC_HI_REPORT_RESERVATION_CONF
05A9   UEC_HI_REPORT_PENDING_EXCEPTION
05AC   UEC_FC_ESI_CMD
